hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_group	gene_group_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_id	lncipedia	gtrnadb	agr	mane_select	gencc
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript	non-coding RNA	RNA, long non-coding	Approved	6p21.33	06p21.33					Divergent transcripts	1990	2017-08-03			2017-08-03	107986587					XR_001756540																												HGNC:53628		
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	17q11.2	17q11.2	"linc-TP53I13|lnc-TP53I13"				Antisense RNAs	1987	2014-02-04			2014-02-10	104355133	ENSG00000264031	OTTHUMG00000179722		CN275323				24504737																						URS000014D914	ABHD15-AS1				
HGNC:55674	ABR-AS1	ABR antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	17p13.3	17p13.3					Antisense RNAs	1987	2021-07-01			2021-07-01	105371479	ENSG00000235361				NR_187271																									URS000045CAF9					
HGNC:56086	ACAD9-DT	ACAD9 divergent transcript	non-coding RNA	RNA, long non-coding	Approved	3q21.3	03q21.3					Divergent transcripts	1990	2021-12-20			2022-04-25	123706524	ENSG00000287110				NR_186174																									URS0000EF2833					
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	3q29	03q29				ACAP2 intronic transcript 1 (non-protein coding)	Intronic transcripts	1989	2011-05-04		2015-02-25	2015-02-25	100874306	ENSG00000229325	OTTHUMG00000155905	uc062rqs.1																											URS000057D897	ACAP2-IT1				
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	1q42.12	01q42.12	RP11-275I14.4				Antisense RNAs	1987	2016-11-11			2017-09-21	107985353	ENSG00000234478	OTTHUMG00000041339		AW511419	NR_146443			28881755																						URS0000BC4615			HGNC:40701		
HGNC:56255	ACE2-DT	ACE2 divergent transcript	non-coding RNA	RNA, long non-coding	Approved	Xp22.2	Xp22.2	GS1-594A7.3				Divergent transcripts	1990	2022-06-29			2022-06-29	104798195	ENSG00000225833				NR_126564			35106622																						URS00000D3355					
HGNC:58067	ACER3-AS1	ACER antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	11q13.5	11q13.5					Antisense RNAs	1987					124902721	ENSG00000254988				XR_007062790			38083905																											
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	2q13	02q13					Antisense RNAs	1987	2016-11-11			2016-11-11	400997	ENSG00000204581	OTTHUMG00000153643			NR_122074																									URS000075CC59			HGNC:41112		
HGNC:40227	ACSL3-AS1	ACSL3 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	2q36.1	02q36.1					Antisense RNAs	1987	2019-07-19			2019-07-19	105373904	ENSG00000234193	OTTHUMG00000153390		DB074600	XR_923949																									URS00004BAD9B			HGNC:40227		
HGNC:40772	ACSL6-AS1	ACSL6 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	5q31.1	05q31.1					Antisense RNAs	1987	2019-07-19			2019-07-19	101927693	ENSG00000223548	OTTHUMG00000059638			NR_183256																									URS000044D80D			HGNC:40772		
HGNC:58286	ACSS3-AS1	ACSS3 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	12q21.31	12q21.31					Antisense RNAs	1987	2025-01-30			2025-01-30	107984535	ENSG00000258026																																		
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	10q23.31	10q23.31	"uc001kfo.1|ZXF1|UC001kfo"				Antisense RNAs	1987	2013-03-01			2018-08-15	100132116	ENSG00000180139	OTTHUMG00000018703	uc001kfo.2	"AK093340|AX748062"	NR_125373			"24721325|28088733"																						URS00007E505A	ACTA2-AS1		HGNC:45169		
HGNC:20131	ACTN1-DT	ACTN1 divergent transcript	non-coding RNA	RNA, long non-coding	Approved	14q24.1	14q24.1			"C14orf84|ACTN1-AS1"	"chromosome 14 open reading frame 84|ACTN1 antisense RNA 1 (non-protein coding)|ACTN1 antisense RNA 1"	Divergent transcripts	1990	2002-12-18	2021-01-14	2021-01-14	2021-01-14	161159	ENSG00000259062	OTTHUMG00000171698	uc031qpf.1	"DB029126|AI147349"	NR_073422																									URS00001D1FF7	ACTN1-AS1		HGNC:20131		
HGNC:58248	ACTN3-AS1	ACTN3 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	11q13.2	11q13.2					Antisense RNAs	1987	2025-01-24			2025-01-24		ENSG00000250105																																		
HGNC:53965	ACTR3-AS1	ACTR3 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	2q14.1	02q14.1	AC104653.1				Antisense RNAs	1987	2018-07-05			2018-07-05	101060091	ENSG00000228857				NR_110174			29959764																						URS000075A0DA			HGNC:53965		
HGNC:44161	ACVR2B-AS1	ACVR2B antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	3p22.2	03p22.2				ACVR2B antisense RNA 1 (non-protein coding)	Antisense RNAs	1987	2012-06-30		2012-08-15	2012-10-12	100128640	ENSG00000229589	OTTHUMG00000156031	uc003cie.2	AK025619	NR_028389																									URS00004374A2	ACVR2B-AS1		HGNC:44161		
HGNC:56152	ADAM7-AS1	ADAM7, ADAMDEC1 and ADAM28 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	8p21.2	08p21.2					Antisense RNAs	1987	2022-01-12			2022-01-12	101929294	ENSG00000253535				NR_125808																									URS00007E4832					
HGNC:56153	ADAM7-AS2	ADAM7 antisense RNA 2	non-coding RNA	RNA, long non-coding	Approved	8p21.2	08p21.2					Antisense RNAs	1987	2022-01-12			2022-01-12	101929315	ENSG00000253643				NR_125809																									URS00007E4591					
HGNC:40625	ADAMTS9-AS1	ADAMTS9 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	3p14.1	03p14.1				ADAMTS9 antisense RNA 1 (non-protein coding)	Antisense RNAs	1987	2011-07-27		2012-08-15	2020-04-20	101929335	ENSG00000241158	OTTHUMG00000158723	uc021xaa.3		NR_110150			27941916																						URS000075D0FD	ADAMTS9-AS1		HGNC:40625		
HGNC:42435	ADAMTS9-AS2	ADAMTS9 antisense RNA 2	non-coding RNA	RNA, long non-coding	Approved	3p14.1	03p14.1				ADAMTS9 antisense RNA 2 (non-protein coding)	Antisense RNAs	1987	2011-07-27		2012-08-15	2023-10-19	100507098	ENSG00000241684	OTTHUMG00000158725	uc003dml.5		NR_038264			"24833086|29707897"	MGI:1924659																		adamts9-as2			URS000075C89F	ADAMTS9-AS2		HGNC:42435		
HGNC:58093	ADAMTS16-AS1	ADAMTS16 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	5p15.32	05p15.32	AC022424.2				Antisense RNAs	1987	2024-09-05			2024-09-05		ENSG00000250866																																		
HGNC:55548	ADAMTS16-DT	ADAMTS16 divergent transcript	non-coding RNA	RNA, long non-coding	Approved	5p15.32	05p15.32					Divergent transcripts	1990	2021-03-25			2021-03-25	101929176	ENSG00000250579				NR_109915																									URS000075EA3C					
HGNC:40797	ADAMTS19-AS1	ADAMTS19 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	5q23.3	05q23.3	RP11-346A9.1				Antisense RNAs	1987	2013-06-19			2021-04-14	103689846	ENSG00000249421	OTTHUMG00000163040		DA728271	NR_125748																									URS00000D55BF	ADAMTS19-AS1		HGNC:40797		
HGNC:32041	ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	1q21.2	01q21.2	FLJ45786		C1orf138	chromosome 1 open reading frame 138	Antisense RNAs	1987	2005-07-08	2013-08-29	2013-08-29	2014-11-18	574406	ENSG00000203804	OTTHUMG00000034866		AK127688	NR_104133		Q5T5F5																							URS000075D769	ADAMTSL4-AS1		HGNC:32041		
HGNC:40895	ADAMTSL4-AS2	ADAMTSL4 antisense RNA 2	non-coding RNA	RNA, long non-coding	Approved	1q21.2	01q21.2					Antisense RNAs	1987	2019-07-19			2019-07-19	100289061	ENSG00000237781	OTTHUMG00000034864			NR_187269																									URS0000769594			HGNC:40895		
HGNC:23299	ADARB2-AS1	ADARB2 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	10p15.3	10p15.3	bA466B20.1		"C10orf109|NCRNA00168"	"chromosome 10 open reading frame 109|non-protein coding RNA 168|ADARB2 antisense RNA 1 (non-protein coding)"	Antisense RNAs	1987	2004-05-27	2011-08-11	2012-08-15	2017-09-08	642394	ENSG00000205696	OTTHUMG00000017542	uc057rfm.1		NR_033387		A8MUL3	28874676																						URS0000CCE155	ADARB2-AS1		HGNC:23299		
HGNC:53332	ADCY6-DT	ADCY6 divergent transcript	non-coding RNA	RNA, long non-coding	Approved	12q13.12	12q13.12					Divergent transcripts	1990	2019-06-14			2019-06-14	100506125	ENSG00000257660	OTTHUMG00000170397			NR_110019																									URS000075D5A2			HGNC:53332		
HGNC:48682	ADD3-AS1	ADD3 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	10q25.1	10q25.1					Antisense RNAs	1987	2013-06-06			2016-11-24	100505933	ENSG00000203876	OTTHUMG00000019028			NR_038943																									URS0000759A44			HGNC:48682		
HGNC:55654	ADGB-DT	ADGB divergent transcript	non-coding RNA	RNA, long non-coding	Approved	6q24.3	06q24.3					Divergent transcripts	1990	2021-06-28			2021-06-28	101928661	ENSG00000237468				NR_125860																									URS000045D6D6					
HGNC:49543	ADGRA1-AS1	ADGRA1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	10q26.3	10q26.3			GPR123-AS1	"GPR123 antisense RNA 1|adhesion G protein-coupled receptor A1 antisense RNA 1"	Antisense RNAs	1987	2014-01-10	2015-03-03	2019-12-13	2019-12-13	100128127	ENSG00000256925	OTTHUMG00000019301			NR_111905																									URS000044FA74	ADGRA1-AS1		HGNC:49543		
HGNC:55774	ADGRB3-DT	ADGRB3 divergent transcript	non-coding RNA	RNA, long non-coding	Approved	6q12	06q12	"AL391807.1|RP3-525N10.2"				Divergent transcripts	1990	2021-07-22			2022-10-03	101928307	ENSG00000230910				NR_125872			35879775																						URS00007E3C19					
HGNC:53314	ADGRD1-AS1	ADGRD1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	12q24.33	12q24.33	LACAT8	lung adenocarcinoma-associated transcript 8			Antisense RNAs	1987	2017-03-22			2017-03-22	105755954	ENSG00000256151	OTTHUMG00000168346			NR_131950			25599403																						URS00008E3A2B			HGNC:53314		
HGNC:58275	ADGRD1-AS2	ADGRD1 antisense RNA 2	non-coding RNA	RNA, long non-coding	Approved	12q24.33	12q24.33					Antisense RNAs	1987	2025-01-30			2025-01-30		ENSG00000256810																																		
HGNC:40864	ADGRF5-AS1	ADGRF5 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	6p12.3	06p12.3					Antisense RNAs	1987	2019-08-02			2019-08-02	101926962	ENSG00000225730	OTTHUMG00000014794			NR_110658																									URS000075DAF1			HGNC:40864		
HGNC:55309	ADGRL1-AS1	ADGRL1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	19p13.12	19p13.12					Antisense RNAs	1987	2020-10-19			2020-10-19	100507373	ENSG00000267169				NR_045214																									URS000075C058					
HGNC:50604	ADGRL3-AS1	ADGRL3 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	4q13.1	04q13.1			LPHN3-AS1	"LPHN3 antisense RNA 1|adhesion G protein-coupled receptor L3 antisense RNA 1"	Antisense RNAs	1987	2014-05-22	2015-03-03	2019-12-13	2023-03-14	101927186	ENSG00000248692	OTTHUMG00000160691			NR_110595			32139545																						URS000075B27D	ADGRL3-AS1		HGNC:50604		
HGNC:56273	ADIPINT	adipocyte associated pyruvate carboxylase interacting lncRNA	non-coding RNA	RNA, long non-coding	Approved	9q22.33	09q22.33		ADIpocyte specific Pyruvate carboxylase INTeracting RNA			Long non-coding RNAs with non-systematic symbols	1992	2022-09-28			2022-09-28	125906382	ENSG00000292223				NR_176917			35618718																						URS00025E353D					
HGNC:40648	ADIPOQ-AS1	ADIPOQ antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	3q27.3	03q27.3				ADIPOQ antisense RNA 1 (non-protein coding)	Antisense RNAs	1987	2011-07-25		2012-08-15	2014-11-19	100874095	ENSG00000226482	OTTHUMG00000156514	uc031sct.2		NR_046662																									URS00009BF5F8	ADIPOQ-AS1		HGNC:40648		
HGNC:45127	ADIRF-AS1	ADIRF antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	10q23.2	10q23.2					Antisense RNAs	1987	2013-02-20			2022-02-24	100133190	ENSG00000272734	OTTHUMG00000185998	uc057uqy.1	AK128041	NR_170177			35196590																						URS000212321C	ADIRF-AS1				
HGNC:55516	ADM-DT	ADM divergent transcript	non-coding RNA	RNA, long non-coding	Approved	11p15.4	11p15.4					Divergent transcripts	1990	2021-03-17			2021-03-17	105376544	ENSG00000254554																													URS00004983CE					
HGNC:51227	ADNP-AS1	ADNP antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	20q13.13	20q13.13					Antisense RNAs	1987	2014-08-08			2014-08-08	101927631	ENSG00000259456	OTTHUMG00000172534			NR_110009																									URS000075E7BC	ADNP-AS1		HGNC:51227		
HGNC:40067	ADORA1-AS1	ADORA1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	1q32.1	01q32.1					Antisense RNAs	1987	2025-01-22			2025-01-22		ENSG00000224671	OTTHUMG00000043021																																	
HGNC:40066	ADORA1-AS2	ADORA1 antisense RNA 2	non-coding RNA	RNA, long non-coding	Approved	1q32.1	01q32.1					Antisense RNAs	1987	2025-01-22			2025-01-22		ENSG00000234775	OTTHUMG00000043020																																	
HGNC:37122	ADORA2A-AS1	ADORA2A antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	22q11.23	22q11.23	"FLJ34651|hLinfRNA1"	human Long-noncoding inflammation associated RNA 1	C22orf45	chromosome 22 open reading frame 45	Antisense RNAs	1987	2009-08-15	2012-10-11	2012-10-11	2023-06-26	646023	ENSG00000178803	OTTHUMG00000150735	uc062cjs.1	AK091970	NR_028483		P86434	"19726446|36899011"																						URS00008E39D5	ADORA2A-AS1		HGNC:37122		
HGNC:44144	ADPGK-AS1	ADPGK antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	15q24.1	15q24.1				ADPGK antisense RNA 1 (non-protein coding)	Antisense RNAs	1987	2012-06-30		2012-08-15	2019-07-11	100287559	ENSG00000260898	OTTHUMG00000173100	uc002avk.1	AK127877	NR_040107			"29667486|31264061"																						URS00004A7F77	ADPGK-AS1		HGNC:44144		
HGNC:28141	AFAP1-AS1	AFAP1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	4p16.1	04p16.1	MGC10981		"AFAP1AS|AFAP1-AS"	"AFAP1 antisense RNA (non-protein coding)|AFAP1 antisense RNA 1 (non-protein coding)"	Antisense RNAs	1987	2010-07-08	2010-11-25	2012-08-15	2016-11-24	84740	ENSG00000272620	OTTHUMG00000186238	uc003gkd.5	BC004397	NR_026892			"23333711|26892468"					619779														AFAP1AS			URS000075E0F9			HGNC:28141		
HGNC:21236	AFDN-DT	AFDN divergent transcript	non-coding RNA	RNA, long non-coding	Approved	6q27	06q27	"HGC6.4|dJ431P23.3|XBP1SBM"	XBP1s binding micropeptide	"AFDN-AS1|C6orf124|LINC01558|MLLT4-AS1"	"AFDN antisense RNA 1 (head to head)|chromosome 6 open reading frame 124|MLLT4 antisense RNA 1 (head to head)|MLLT4 antisense RNA 1 (non-protein coding)|long intergenic non-protein coding RNA 1558"	Divergent transcripts	1990	2003-05-29	2017-09-21	2017-09-21	2024-10-21	653483	ENSG00000198221	OTTHUMG00000016029	uc003qwa.3		NR_027906		Q9Y6Z5	"10382971|31981317|35197570"																						URS000075BCEE			HGNC:21236		
HGNC:53447	AFF1-AS1	AFF1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	4q21.3	04q21.3					Antisense RNAs	1987	2017-04-19			2017-04-19	100506746					NR_038841																									URS000075D11F			HGNC:53447		
HGNC:41334	AFF2-IT1	AFF2 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	Xq28	Xq28				AFF2 intronic transcript 1 (non-protein coding)	Intronic transcripts	1989	2011-05-20		2015-02-25	2023-07-27	100874269	ENSG00000223516	OTTHUMG00000022611	uc065bmd.1																											URS00025D6F3A	AFF2-IT1				
HGNC:55235	AFF4-DT	AFF4 divergent transcript	non-coding RNA	RNA, long non-coding	Approved	5q31.1	05q31.1					Divergent transcripts	1990	2020-09-16			2023-06-12	124901065	ENSG00000272023				NR_186175																									URS000050E274					
HGNC:52788	AFTPH-DT	AFTPH divergent transcript	non-coding RNA	RNA, long non-coding	Approved	2p14	02p14					Divergent transcripts	1990	2020-12-21			2020-12-21	101927402	ENSG00000260101				NR_136167																									URS0000A76F9F					
HGNC:27730	AGA-DT	AGA divergent transcript	non-coding RNA	RNA, long non-coding	Approved	4q34.3	04q34.3					Divergent transcripts	1990	2021-04-07			2021-04-07	285500	ENSG00000250131				NR_183777																									URS0000EF0E2C					
HGNC:41427	AGAP1-IT1	AGAP1 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	2q37.2	02q37.2				AGAP1 intronic transcript 1 (non-protein coding)	Intronic transcripts	1989	2011-05-20		2015-02-25	2015-02-25	100506749	ENSG00000235529	OTTHUMG00000153124	uc061txt.1		NR_131900																									URS00008E3A47	AGAP1-IT1		HGNC:41427		
HGNC:48633	AGAP2-AS1	AGAP2 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	12q14.1	12q14.1	"LOC100130776|PUNISHER"				Antisense RNAs	1987	2013-05-30			2019-06-19	100130776	ENSG00000255737	OTTHUMG00000170286		"BC039697|BC069024"	NR_027032			"25392693|27195672|31186379"																						URS000075E9B8	AGAP2-AS1		HGNC:48633		
HGNC:48617	AGBL1-AS1	AGBL1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	15q25.3	15q25.3					Antisense RNAs	1987	2013-05-24			2013-05-24	727915	ENSG00000260125	OTTHUMG00000172872			NR_046012																									URS000075E9BB	AGBL1-AS1		HGNC:48617		
HGNC:41123	AGBL4-AS1	AGBL4 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	1p33	01p33					Antisense RNAs	1987	2019-07-19			2019-07-19	101929721	ENSG00000230114	OTTHUMG00000008156			NR_125988																									URS00007E3E6C			HGNC:41123		
HGNC:41482	AGBL4-IT1	AGBL4 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	1p33	01p33				AGBL4 intronic transcript 1 (non-protein coding)	Intronic transcripts	1989	2011-06-08		2015-02-25	2015-02-25	100874313	ENSG00000225623	OTTHUMG00000008155	uc031tzy.1		NR_046839																									URS00001BDE86	AGBL4-IT1		HGNC:41482		
HGNC:41133	AGBL5-AS1	AGBL5 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	2p23.3	02p23.3				AGBL5 antisense RNA 1 (non-protein coding)	Antisense RNAs	1987	2011-06-08		2012-08-15	2021-07-22	100874031	ENSG00000231636	OTTHUMG00000151996	uc061hjm.1		NR_046730																									URS00003B86EF	AGBL5-AS1		HGNC:41133		
HGNC:41484	AGBL5-IT1	AGBL5 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	2p23.3	02p23.3				AGBL5 intronic transcript 1 (non-protein coding)	Intronic transcripts	1989	2011-06-08		2015-02-25	2015-02-25	106481744	ENSG00000229122	OTTHUMG00000151991	uc061hjv.1																											URS0000318C7A	AGBL5-IT1				
HGNC:55356	AGK-DT	AGK divergent transcript	non-coding RNA	RNA, long non-coding	Approved	7q34	07q34					Divergent transcripts	1990	2020-11-05			2020-11-05	105375538	ENSG00000261570				NR_183402																									URS0000EF7103					
HGNC:20988	AGPAT4-IT1	AGPAT4 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	6q26	06q26	FLJ23112		"C6orf59|NCRNA00241"	"chromosome 6 open reading frame 59|non-protein coding RNA 241|AGPAT4 intronic transcript 1 (non-protein coding)"	Intronic transcripts	1989	2003-04-29	2011-08-11	2015-02-25	2023-03-03	79992		OTTHUMG00000152859	uc003qtu.5	AK026765	NR_024277		Q9H0P7																							URS000075D301	AGPAT4-IT1		HGNC:20988		
HGNC:32526	AHI1-DT	AHI1 divergent transcript	non-coding RNA	RNA, long non-coding	Approved	6q23.3	06q23.3			"C6orf217|NCRNA00271|LINC00271"	"chromosome 6 open reading frame 217|non-protein coding RNA 271|long intergenic non-protein coding RNA 271"	Divergent transcripts	1990	2006-02-20	2021-07-22	2021-07-22	2021-07-22	100131814	ENSG00000231028	OTTHUMG00000015632	uc063rrh.1		NR_026805		P0C7V0																							URS000075A820	LINC00271		HGNC:32526		
HGNC:34515	AIRN	antisense of IGF2R non-protein coding RNA	non-coding RNA	RNA, long non-coding	Approved	6q25.3	06q25.3	"AIR|NCRNA00088|IGF2RAS|IGF2R-AS1"	"non-protein coding RNA 88|IGF2R antisense RNA 1 (non-protein coding)"		antisense of IGF2R RNA (non-protein coding)	Long non-coding RNAs with non-systematic symbols	1992	2008-11-25		2012-08-16	2018-08-15	100271873	ENSG00000268257	OTTHUMG00000183173	uc031sqx.1		NR_047511			"18789384|19008856"	MGI:1353471				604893														Air			URS000041E62F	AIRN		HGNC:34515		
HGNC:55449	AJUBA-DT	AJUBA divergent transcript	non-coding RNA	RNA, long non-coding	Approved	14q11.2	14q11.2					Divergent transcripts	1990	2021-01-15			2021-01-15	107984660	ENSG00000258457				XR_007064074																									URS0000547AE8					
HGNC:40069	AK5-AS1	AK5 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	1p31.1	01p31.1					Antisense RNAs	1987	2025-01-22			2025-01-22		ENSG00000233099	OTTHUMG00000039775																																	
HGNC:55339	AKAP1-DT	AKAP1 divergent transcript	non-coding RNA	RNA, long non-coding	Approved	17q22	17q22					Divergent transcripts	1990	2020-10-21			2020-10-21	119139901	ENSG00000263004				NR_186437																									URS00022AE97E					
HGNC:55975	AKAP13-AS1	AKAP13 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	15q25.3	15q25.3					Antisense RNAs	1987	2021-11-12			2021-11-12	123466214	ENSG00000259367																													URS0000276885					
HGNC:41304	AKT3-IT1	AKT3 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	1q44	01q44				AKT3 intronic transcript 1 (non-protein coding)	Intronic transcripts	1989	2011-05-20		2015-02-25	2015-02-25	100874263	ENSG00000228939	OTTHUMG00000039993	uc057qwa.1		NR_046761																									URS00002C213E	AKT3-IT1				
HGNC:27515	ALDH1A2-AS1	ALDH1A2 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	15q21.3	15q21.3					Antisense RNAs	1987	2021-01-07			2021-01-07	283665	ENSG00000259285				NR_147215																									URS0000BC458D					
